,name,file,line,type,comment
25,set_tf_cuda_version,../tensorflow/configure.py,892,function,Set TF_CUDA_VERSION.
26,set_tf_cudnn_version,../tensorflow/configure.py,904,function,Set TF_CUDNN_VERSION.
27,is_cuda_compatible,../tensorflow/configure.py,916,function,Check compatibility between given library and cudnn/cudart libraries.
28,set_tf_tensorrt_version,../tensorflow/configure.py,945,function,Set TF_TENSORRT_VERSION.
29,set_tf_nccl_version,../tensorflow/configure.py,962,function,Set TF_NCCL_VERSION.
30,get_native_cuda_compute_capabilities,../tensorflow/configure.py,979,function,Get native cuda compute capabilities.
31,set_tf_cuda_compute_capabilities,../tensorflow/configure.py,1003,function,Set TF_CUDA_COMPUTE_CAPABILITIES.
32,set_other_cuda_vars,../tensorflow/configure.py,1074,function,Set other CUDA related variables.
33,set_host_cxx_compiler,../tensorflow/configure.py,1083,function,Set HOST_CXX_COMPILER.
34,set_host_c_compiler,../tensorflow/configure.py,1100,function,Set HOST_C_COMPILER.
35,set_computecpp_toolkit_path,../tensorflow/configure.py,1117,function,Set COMPUTECPP_TOOLKIT_PATH.
36,set_trisycl_include_dir,../tensorflow/configure.py,1149,function,Set TRISYCL_INCLUDE_DIR.
37,is_reduced_optimize_huge_functions_available,../tensorflow/configure.py,1233,function,Check to see if the system supports /d2ReducedOptimizeHugeFunctions.
38,set_windows_build_flags,../tensorflow/configure.py,1262,function,Set Windows specific build options.
39,config_info_line,../tensorflow/configure.py,1283,function,Helper function to print formatted help text for Bazel config options.
40,configure_ios,../tensorflow/configure.py,1288,function,Configures TensorFlow for iOS builds.
41,validate_cuda_config,../tensorflow/configure.py,1305,function,"Run find_cuda_config.py and return cuda_toolkit_path, or None."
42,check_cuda_lib,../tensorflow/third_party/gpus/check_cuda_libs.py,46,function,Tests if a library exists on disk and whether its soname matches the filename.
43,find_cuda_config,../tensorflow/third_party/gpus/find_cuda_config.py,567,function,Returns a dictionary of CUDA library and header file paths.
44,GetOptionValue,../tensorflow/third_party/toolchains/preconfig/ubuntu16.04/gcc7_manylinux2010-nvcc-cuda10.0/windows/msvc_wrapper_for_nvcc.py,45,function,Extract the list of values for option from options.
45,GetNvccOptions,../tensorflow/third_party/toolchains/preconfig/ubuntu16.04/gcc7_manylinux2010-nvcc-cuda10.0/windows/msvc_wrapper_for_nvcc.py,74,function,Collect the -nvcc_options values from argv.
46,InvokeNvcc,../tensorflow/third_party/toolchains/preconfig/ubuntu16.04/gcc7_manylinux2010-nvcc-cuda10.0/windows/msvc_wrapper_for_nvcc.py,96,function,Call nvcc with arguments assembled from argv.
47,process_file,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_v2_main.py,42,function,Process a file of type `.py` or `.ipynb`.
48,add_contrib_direct_import_support,../tensorflow/tensorflow/tools/compatibility/all_renames_v2.py,560,function,Add support for `tf.contrib.*` alias `contrib_*.` Updates dict in place.
49,TFAPIChangeSpec,../tensorflow/tensorflow/tools/compatibility/tf_upgrade.py,29,class,List of maps that describe what changed in the API.
50,ModuleDeprecationSpec,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,57,class,A specification which deprecates 'a.b'.
51,RenameKeywordSpec,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,65,class,A specification where kw2 gets renamed to kw3.
52,ReorderKeywordSpec,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,82,class,A specification where kw2 gets moved in front of kw1.
53,ReorderAndRenameKeywordSpec,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,100,class,A specification where kw2 gets moved in front of kw1 and is changed to kw3.
54,RemoveDeprecatedAliasKeyword,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,116,class,A specification where kw1_alias is removed in g.
55,RemoveDeprecatedAliasAndReorderRest,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,132,class,A specification where kw1_alias is removed in g.
56,RemoveMultipleKeywordArguments,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,149,class,A specification where both keyword aliases are removed from h.
57,RenameImports,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,166,class,Specification for renaming imports.
58,testKeywordRename,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,207,method,Test that we get the expected result if renaming kw2 to kw3.
59,testKeywordReorderWithParens,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,231,method,Test that we get the expected result if there are parens around args.
60,testKeywordReorder,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,245,method,Test that we get the expected result if kw2 is now before kw1.
61,testKeywordReorderAndRename,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,282,method,Test that we get the expected result if kw2 is renamed and moved.
62,testRemoveDeprecatedKeywordAlias,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,317,method,Test that we get the expected result if a keyword alias is removed.
63,testRemoveDeprecatedKeywordAndReorder,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,355,method,Test for when a keyword alias is removed and args are reordered.
64,testRemoveDeprecatedKeywordAndReorder2,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,397,method,Same as testRemoveDeprecatedKeywordAndReorder but on g2 (more args).
65,testRemoveMultipleKeywords,../tensorflow/tensorflow/tools/compatibility/ast_edits_test.py,441,method,Remove multiple keywords at once.
66,TFAPIChangeSpec,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_v2_safety.py,26,class,List of maps that describe what changed in the API.
67,get_func_and_args_from_str,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_v2_test.py,60,function,Parse call string to get function and argument names.
68,TestUpgrade,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_v2_test.py,81,class,Test various APIs that have been changed in 2.0.
69,DISABLED_test_string_split,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_v2_test.py,1992,method,Tests for transforming from tf.string_split.
70,test_strings_split,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_v2_test.py,2039,method,Tests for transforming from tf.strings.split.
71,testInplace,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_v2_test.py,2390,method,Check to make sure we don't have a file system race.
72,testInplaceNoOutputChangeOnErrorHandling,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_v2_test.py,2402,method,In place file should not be modified when parsing error is handled.
73,testInplaceEmptyOutputOnError,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_v2_test.py,2415,method,In place file becomes empty when parsing error is not handled.
74,full_name_node,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,49,function,Make an Attribute or Name node for name.
75,get_arg_value,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,72,function,Get the value of an argument from a ast.Call node.
76,uses_star_args_in_call,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,111,function,Check if an ast.Call node uses arbitrary-length positional *args.
77,uses_star_kwargs_in_call,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,135,function,Check if an ast.Call node uses arbitrary-length **kwargs.
78,uses_star_args_or_kwargs_in_call,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,159,function,Check if an ast.Call node uses arbitrary-length *args or **kwargs.
79,excluded_from_module_rename,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,175,function,Check if this module import should not be renamed.
80,APIChangeSpec,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,192,class,This class defines the transformations that need to happen.
81,preprocess,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,215,method,"Preprocess a parse tree. Return a preprocessed node, logs and errors."
82,clear_preprocessing,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,219,method,Restore this APIChangeSpec to before it preprocessed a file.
83,NoUpdateSpec,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,227,class,A specification of an API change which doesn't change anything.
84,AnalysisResult,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,787,class,This class represents an analysis result and how it should be logged.
85,APIAnalysisSpec,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,799,class,This class defines how `AnalysisResult`s should be generated.
86,PastaAnalyzeVisitor,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,815,class,AST Visitor that looks for specific API usage without editing anything.
87,visit_Attribute,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,834,method,"Handle bare Attributes i.e. [tf.foo, tf.bar]."
88,visit_Import,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,847,method,Handle visiting an import node in the AST.
89,visit_ImportFrom,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,866,method,Handle visiting an import-from node in the AST.
90,ASTCodeUpgrader,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,893,class,Handles upgrading a set of Python files using a given API change spec.
91,process_file,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,902,method,Process the given python file for incompatible changes.
92,update_string_pasta,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,937,method,Updates a file using pasta.
93,process_opened_file,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,968,method,Process the given python file for incompatible changes.
94,process_tree,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,993,method,Processes upgrades on an entire tree of python files in place.
95,process_tree_inplace,../tensorflow/tensorflow/tools/compatibility/ast_edits.py,1087,method,Process a directory of python files in place.
96,CompatV1ImportReplacer,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_v2.py,72,class,AST Visitor that replaces `import tensorflow.compat.v1 as tf`.
97,visit_Import,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_v2.py,78,method,Handle visiting an import node in the AST.
98,TFAPIChangeSpec,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_v2.py,92,class,List of maps that describe what changed in the API.
99,TestUpgrade,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_test.py,31,class,Test various APIs that have been changed in 1.0.
100,testInplace,../tensorflow/tensorflow/tools/compatibility/tf_upgrade_test.py,140,method,Check to make sure we don't have a file system race.
101,is_python,../tensorflow/tensorflow/tools/compatibility/ipynb.py,33,function,Checks if the cell consists of Python code.
102,process_file,../tensorflow/tensorflow/tools/compatibility/ipynb.py,41,function,The function where we inject the support for ipynb upgrade.
103,skip_magic,../tensorflow/tensorflow/tools/compatibility/ipynb.py,71,function,"Checks if the cell has magic, that is not Python-based."
104,check_line_split,../tensorflow/tensorflow/tools/compatibility/ipynb.py,92,function,Checks if a line was split with `\`.
105,TestUpgrade,../tensorflow/tensorflow/tools/compatibility/testdata/test_file_v1_12.py,28,class,Test various APIs that have been changed in 2.0.
106,TestUpgrade,../tensorflow/tensorflow/tools/compatibility/testdata/test_file_v0_11.py,29,class,Test various APIs that have been changed in 1.0.
107,collect_function_arg_names,../tensorflow/tensorflow/tools/compatibility/update/generate_v2_reorders_map.py,69,function,Determines argument names for reordered function signatures.
108,update_reorders_v2,../tensorflow/tensorflow/tools/compatibility/update/generate_v2_reorders_map.py,115,function,Writes a Python dictionary mapping function name to argument order.
109,get_all_v2_names,../tensorflow/tensorflow/tools/compatibility/update/generate_v2_renames_map.py,78,function,Get a set of function/class names available in TensorFlow 2.0.
110,collect_constant_renames,../tensorflow/tensorflow/tools/compatibility/update/generate_v2_renames_map.py,97,function,Looks for constants that need to be renamed in TF 2.0.
111,collect_function_renames,../tensorflow/tensorflow/tools/compatibility/update/generate_v2_renames_map.py,128,function,Looks for functions/classes that need to be renamed in TF 2.0.
112,update_renames_v2,../tensorflow/tensorflow/tools/compatibility/update/generate_v2_renames_map.py,166,function,Writes a Python dictionary mapping deprecated to canonical API names.
113,check_existence,../tensorflow/tensorflow/tools/ci_build/update_version.py,46,function,Check the existence of file or dir.
114,check_all_files,../tensorflow/tensorflow/tools/ci_build/update_version.py,53,function,Check all relevant files necessary for upgrade.
115,replace_string_in_line,../tensorflow/tensorflow/tools/ci_build/update_version.py,59,function,Replace with sed when regex is required.
116,Version,../tensorflow/tensorflow/tools/ci_build/update_version.py,67,class,Version class object that stores SemVer version information.
117,__init__,../tensorflow/tensorflow/tools/ci_build/update_version.py,70,method,Constructor.
118,parse_from_string,../tensorflow/tensorflow/tools/ci_build/update_version.py,114,method,Returns version object from Semver string.
119,get_current_semver_version,../tensorflow/tensorflow/tools/ci_build/update_version.py,146,function,Returns a Version object of current version.
120,update_version_h,../tensorflow/tensorflow/tools/ci_build/update_version.py,183,function,Update tensorflow/core/public/version.h.
121,update_setup_dot_py,../tensorflow/tensorflow/tools/ci_build/update_version.py,200,function,Update setup.py.
122,update_readme,../tensorflow/tensorflow/tools/ci_build/update_version.py,206,function,Update README.
123,update_tensorflow_bzl,../tensorflow/tensorflow/tools/ci_build/update_version.py,214,function,Update tensorflow.bzl.
124,major_minor_change,../tensorflow/tensorflow/tools/ci_build/update_version.py,224,function,Check if a major or minor change occurred.
125,check_for_lingering_string,../tensorflow/tensorflow/tools/ci_build/update_version.py,233,function,Check for given lingering strings.
126,check_for_old_version,../tensorflow/tensorflow/tools/ci_build/update_version.py,255,function,Check for old version references.
127,check_existence,../tensorflow/tensorflow/tools/ci_build/copy_binary.py,40,function,Check the existence of file or dir.
128,copy_binary,../tensorflow/tensorflow/tools/ci_build/copy_binary.py,46,function,Rename and copy binaries for different python versions.
129,BuildEnvSetter,../tensorflow/tensorflow/tools/ci_build/linux/mkl/set-build-env.py,183,class,Prepares the proper environment settings for various Intel platforms.
130,parse_args,../tensorflow/tensorflow/tools/ci_build/linux/mkl/set-build-env.py,232,method,"Set up argument parser, and parse CLI args."
131,set_build_args,../tensorflow/tensorflow/tools/ci_build/linux/mkl/set-build-env.py,307,method,Generate Bazel build flags.
132,gather_machine_configuration,../tensorflow/tensorflow/tools/test/system_info_lib.py,44,function,Gather Machine Configuration.  This is the top level fn of this library.
133,gather_memory_info,../tensorflow/tensorflow/tools/test/system_info_lib.py,70,function,Gather memory info.
134,gather_cpu_info,../tensorflow/tensorflow/tools/test/system_info_lib.py,79,function,Gather CPU Information.  Assumes all CPUs are the same.
135,gather_available_device_info,../tensorflow/tensorflow/tools/test/system_info_lib.py,126,function,Gather list of devices available to TensorFlow.
136,gather_platform_info,../tensorflow/tensorflow/tools/test/system_info_lib.py,146,function,Gather platform info.
137,list_files_by_mtime,../tensorflow/tensorflow/tools/test/upload_test_benchmarks.py,104,function,"Return a list of files in the directory, sorted in increasing ""mtime""."
138,upload_benchmark_data,../tensorflow/tensorflow/tools/test/upload_test_benchmarks.py,141,function,Parse benchmark data and use the client to upload it to the datastore.
139,upload_benchmark_files,../tensorflow/tensorflow/tools/test/upload_test_benchmarks.py,190,function,"Find benchmark files, process them, and upload their data to the datastore."
140,parse_cmd_line,../tensorflow/tensorflow/tools/test/upload_test_benchmarks.py,221,function,Parse command line options.
141,gather_gpu_devices,../tensorflow/tensorflow/tools/test/gpu_info_lib.py,167,function,Gather gpu device info.
142,get_git_commit_sha,../tensorflow/tensorflow/tools/test/run_and_gather_logs_lib.py,41,function,Get git commit SHA for this build.
143,run_and_gather_logs,../tensorflow/tensorflow/tools/test/run_and_gather_logs_lib.py,101,function,Run the bazel test given by test_name.  Gather and return the logs.
144,check_output_despite_error,../tensorflow/tensorflow/tools/pip_package/check_load_py_test.py,28,function,"Get output of args from command line, even if there are errors."
145,InstallCommand,../tensorflow/tensorflow/tools/pip_package/setup.py,138,class,Override the dir where the headers go.
146,InstallHeaders,../tensorflow/tensorflow/tools/pip_package/setup.py,149,class,Override how headers are copied.
147,find_files,../tensorflow/tensorflow/tools/pip_package/setup.py,217,function,Return all the files matching pattern below root dir.
148,GetBuild,../tensorflow/tensorflow/tools/pip_package/pip_smoke_test.py,44,function,Get the list of BUILD file all targets recursively startind at dir_base.
149,run_shell_cmd,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,135,function,Executes shell commands and returns output.
150,get_platform,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,153,function,Retrieves platform information.
151,get_cpu_type,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,179,function,Retrieves CPU (type) information.
152,get_cpu_arch,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,195,function,Retrieves processor architecture type (32-bit or 64-bit).
153,get_distrib,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,210,function,Retrieves distribution name of the operating system.
154,get_distrib_version,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,225,function,Retrieves distribution version of the operating system.
155,get_gpu_type,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,242,function,Retrieves GPU type.
156,get_gpu_count,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,280,function,Retrieves total number of GPU's available in the system.
157,get_cuda_version_all,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,294,function,Retrieves all additional CUDA versions available (other than default).
158,get_cuda_version_default,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,327,function,Retrieves default CUDA version.
159,get_cuda_compute_capability,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,368,function,Retrieves CUDA compute capability based on the detected GPU type.
160,get_cudnn_version,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,402,function,Retrieves the version of cuDNN library detected.
161,get_gcc_version,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,426,function,Retrieves version of GCC detected.
162,get_glibc_version,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,441,function,Retrieves version of GLIBC detected.
163,get_libstdcpp_version,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,456,function,Retrieves version of libstdc++ detected.
164,get_cpu_isa_version,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,472,function,Retrieves all Instruction Set Architecture(ISA) available.
165,get_python_version,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,500,function,Retrieves default Python version.
166,get_all_configs,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,512,function,Runs all functions for detecting user machine configurations.
167,print_all_configs,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,581,function,Prints the status and info on all configurations in a table format.
168,save_to_file,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,624,function,Saves all detected configuration(s) into a JSON file.
169,manage_all_configs,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/config_detector.py,641,function,Manages configuration detection and retrieval based on user input.
170,retrieve_from_web,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/data/cuda_compute_capability.py,55,function,Retrieves list of all CUDA compute capability from NVIDIA webpage.
171,retrieve_from_golden,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/data/cuda_compute_capability.py,91,function,Retrieves list of all CUDA compute capability from a golden file.
172,create_gpu_capa_map,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/data/cuda_compute_capability.py,118,function,Generates a map between GPU types and corresponding compute capability.
173,write_csv_from_dict,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/data/cuda_compute_capability.py,172,function,Writes out a `.csv` file from an input dictionary.
174,check_with_golden,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/data/cuda_compute_capability.py,195,function,Checks the newly created CUDA compute capability file with the golden.
175,print_dict,../tensorflow/tensorflow/tools/tensorflow_builder/config_detector/data/cuda_compute_capability.py,227,function,Prints dictionary with formatting (2 column table).
176,ConfigCompatChecker,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker.py,119,class,Class that checks configuration versions and dependency compatibilities.
177,__init__,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker.py,327,method,Initializes a configuration compatibility checker.
178,get_all_reqs,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker.py,352,method,Parses all compatibility specifications listed in the `.ini` config file.
179,filter_dependency,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker.py,535,method,Filters dependency compatibility rules defined in the `.ini` config file.
180,convert_to_list,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker.py,565,method,Converts a string into a list with a separator.
181,filter_line,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker.py,600,method,Removes `[` or `]` from the input line.
182,in_range,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker.py,653,method,Checks if a version satisfies a version and/or compatibility requirement.
183,_print,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker.py,724,method,Prints compatibility check status and failure or warning messages.
184,check_compatibility,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker.py,780,method,Checks version and dependency compatibility for a given configuration.
185,setUp,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker_test.py,72,method,Set up test.
186,testWithUserConfigInRange,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker_test.py,77,method,Test a set of configs that are supported.
187,testWithUserConfigNotInRange,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker_test.py,95,method,Test a set of configs that are NOT supported.
188,testWithUserConfigMissing,../tensorflow/tensorflow/tools/tensorflow_builder/compat_checker/compat_checker_test.py,113,method,Test a set of configs that are empty or missing specification.
189,md_files_in_dir,../tensorflow/tensorflow/tools/docs/py_guide_parser.py,29,function,"Returns a list of filename (full_path, base) pairs for guide files."
190,PyGuideParser,../tensorflow/tensorflow/tools/docs/py_guide_parser.py,38,class,Simple parsing of a guide .md file.
191,process,../tensorflow/tensorflow/tools/docs/py_guide_parser.py,49,method,Read and process the file at `full_path`.
192,replace_line,../tensorflow/tensorflow/tools/docs/py_guide_parser.py,89,method,Replace the contents of line numbered `line_number` with `line`.
193,generate_raw_ops_doc,../tensorflow/tensorflow/tools/docs/generate2.py,97,function,Generates docs for `tf.raw_ops`.
194,TfExportAwareVisitor,../tensorflow/tensorflow/tools/docs/generate2.py,134,class,"A `tf_export`, `keras_export` and `estimator_export` aware doc_visitor."
195,build_docs,../tensorflow/tensorflow/tools/docs/generate2.py,176,function,Build api docs for tensorflow v2.
196,build_md_page,../tensorflow/tensorflow/tools/docs/pretty_docs.py,36,function,"Given a PageInfo object, return markdown for the page."
197,DocGeneratorVisitor,../tensorflow/tensorflow/tools/docs/doc_generator_visitor.py,28,class,A visitor that generates docs for a python object when __call__ed.
198,__init__,../tensorflow/tensorflow/tools/docs/doc_generator_visitor.py,31,method,Make a visitor.
199,set_root_name,../tensorflow/tensorflow/tools/docs/doc_generator_visitor.py,49,method,Sets the root name for subsequent __call__s.
200,index,../tensorflow/tensorflow/tools/docs/doc_generator_visitor.py,54,method,A map from fully qualified names to objects to be documented.
201,tree,../tensorflow/tensorflow/tools/docs/doc_generator_visitor.py,65,method,A map from fully qualified names to all its child names for traversal.
202,reverse_index,../tensorflow/tensorflow/tools/docs/doc_generator_visitor.py,77,method,A map from `id(object)` to the preferred fully qualified name.
203,duplicate_of,../tensorflow/tensorflow/tools/docs/doc_generator_visitor.py,92,method,A map from duplicate full names to a preferred fully qualified name.
204,duplicates,../tensorflow/tensorflow/tools/docs/doc_generator_visitor.py,106,method,A map from preferred full names to a list of all names for this symbol.
205,_add_prefix,../tensorflow/tensorflow/tools/docs/doc_generator_visitor.py,123,method,Adds the root name to a name.
206,__call__,../tensorflow/tensorflow/tools/docs/doc_generator_visitor.py,127,method,"Visitor interface, see `tensorflow/tools/common:traverse` for details."
207,_score_name,../tensorflow/tensorflow/tools/docs/doc_generator_visitor.py,163,method,Return a tuple of scores indicating how to sort for the best name.
208,_maybe_find_duplicates,../tensorflow/tensorflow/tools/docs/doc_generator_visitor.py,213,method,Compute data structures containing information about duplicates.
209,do_not_generate_docs,../tensorflow/tensorflow/tools/docs/doc_controls.py,24,function,A decorator: Do not generate docs for this object.
210,do_not_doc_inheritable,../tensorflow/tensorflow/tools/docs/doc_controls.py,105,function,A decorator: Do not generate docs for this method.
211,for_subclass_implementers,../tensorflow/tensorflow/tools/docs/doc_controls.py,168,function,A decorator: Only generate docs for this method in the defining class.
212,should_skip,../tensorflow/tensorflow/tools/docs/doc_controls.py,246,function,Returns true if docs generation should be skipped for this object.
213,should_skip_class_attr,../tensorflow/tensorflow/tools/docs/doc_controls.py,264,function,Returns true if docs should be skipped for this class attribute.
214,write_docs,../tensorflow/tensorflow/tools/docs/generate_lib.py,40,function,Write previously extracted docs to disk.
215,DocControlsAwareCrawler,../tensorflow/tensorflow/tools/docs/generate_lib.py,246,class,A `docs_controls` aware API-crawler.
216,extract,../tensorflow/tensorflow/tools/docs/generate_lib.py,255,function,Extract docs from tf namespace and write them to disk.
217,build_doc_index,../tensorflow/tensorflow/tools/docs/generate_lib.py,298,function,Build an index from a keyword designating a doc to _DocInfo objects.
218,update_id_tags_inplace,../tensorflow/tensorflow/tools/docs/generate_lib.py,397,function,Set explicit ids on all second-level headings to ensure back-links work.
219,replace_refs,../tensorflow/tensorflow/tools/docs/generate_lib.py,421,function,Fix @{} references in all files under `src_dir` matching `file_pattern`.
220,DocGenerator,../tensorflow/tensorflow/tools/docs/generate_lib.py,483,class,Main entry point for generating docs.
221,build,../tensorflow/tensorflow/tools/docs/generate_lib.py,580,method,Build all the docs.
222,get_base_dirs_and_prefixes,../tensorflow/tensorflow/tools/docs/base_dir.py,29,function,Returns the base_dirs and code_prefixes for OSS TensorFlow api gen.
223,is_free_function,../tensorflow/tensorflow/tools/docs/parser.py,40,function,Check if input is a free function (and not a class- or static method).
